# text = neotenic development
# id = 02768421-a-2
# type = ex
1	neotenic	wf	_	neotenic%3	neotenic%3:01:00::	auto	0:8
2	development	wf	_	development%1	_	un	9:20

# text = of or relating to nominalism
# id = 02769358-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	nominalism	wf	NN	nominalism%1	nominalism%1:09:00::	auto	18:28

# text = of or relating to Noah or his time; 
# id = 02768850-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	Noah	wf	NNP	Noah%1	noah%1:18:00::	auto	18:22
6	or	wf	CC	or	_	ignore	23:25
7	his	wf	PRP$	his	_	ignore	26:29
8	time	wf	NN	time%1|time%2	_	un	30:34
9	;	wf	punc	_	_	ignore	34:35

# text = Noachian deluge
# id = 02768850-a-2
# type = ex
1	Noachian	wf	_	Noachian%3	noachian%3:01:00::	auto	0:8
2	deluge	wf	_	deluge%1|deluge%2	_	un	9:15

# text = of or relating to numerology
# id = 02770123-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	numerology	wf	NN	numerology%1	numerology%1:09:00::	auto	18:28

# text = relating to or affecting the infant during the first month after birth; 
# id = 02768106-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	affecting	wf	VBG	affect%2|affecting%3	affect%2:29:00::	man	15:24
5	the	wf	DT	the	_	ignore	25:28
6	infant	wf	NN	infant%1	infant%1:18:00::	auto	29:35
7	during	wf	IN	during	_	ignore	36:42
8	the	wf	DT	the	_	ignore	43:46
9	first	wf	JJ	first%1|first%3|first%4	_	un	47:52
10	month	wf	NN	month%1	month%1:28:00::	man	53:58
11	after	wf	IN	after%3|after%4	_	un	59:64
12	birth	wf	NN	birth%1|birth%2	birth%1:11:00::	man	65:70
13	;	wf	punc	_	_	ignore	70:71

# text = neonatal care
# id = 02768106-a-2
# type = ex
1	neonatal	wf	_	neonatal%3	neonatal%3:01:00::	auto	0:8
2	care	wf	_	care%1|care%2	_	un	9:13

# text = the neonatal period
# id = 02768106-a-3
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	neonatal	wf	_	neonatal%3	neonatal%3:01:00::	auto	4:12
3	period	wf	_	period%1	_	un	13:19

# text = of or relating to North Vietnam or its people or culture
# id = 02769692-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	_	glob|a	_	North_Vietnam%1	north_vietnam%1:15:00::	auto	_
6	North	cf|a	NNP	North%1	_	un	18:23
7	Vietnam	cf|a	NNP	Vietnam%1	_	un	24:31
8	or	wf	CC	or	_	ignore	32:34
9	its	wf	PRP$	its	_	ignore	35:38
10	people	wf	NNS	people%1|people%2	_	un	39:45
11	or	wf	CC	or	_	ignore	46:48
